Sección de wiki,Subsección wiki,Valor
Prototipo,Antecedentes,4.545454545454545
Prototipo,Equipo,4.545454545454545
Prototipo,Imagen de prototipo,4.545454545454545
Prototipo,Descripción del prototipo,4.545454545454545
Aprendizajes,Hito 1,4.545454545454545
Aprendizajes,Hito 2,4.545454545454545
Aprendizajes,Hito 3,4.545454545454545
Aprendizajes,Hito 4,4.545454545454545
Desarrollo,Validación,4.545454545454545
Desarrollo,Receta ,4.545454545454545
Desarrollo,Hoja de ruta,4.545454545454545
Desarrollo,Partes del Prototipo,4.545454545454545
Desarrollo,Ingredientes,4.545454545454545
Desarrollo,Pasos ,4.545454545454545
Desarrollo,Consejos ,4.545454545454545
Desarrollo,Referencias,4.545454545454545
Desarrollo,Archivos para replicar,4.545454545454545
Desarrollo,Continuidad ,4.545454545454545
Desarrollo,Alianzas,4.545454545454545
Desarrollo,Sostenibilidad,4.545454545454545
Desarrollo,Medios,4.545454545454545
Desarrollo,Vinculaciones,4.545454545454545
