Proyecto,Prototipo,Sección de wiki,Subsección de wiki,Status,Valor,notas de mejora
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Prototipo,Antecedentes,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Prototipo,Equipo,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Prototipo,Imagen de prototipo,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Prototipo,Descripción del prototipo,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Aprendizajes,Hito 1,Completa,4.545454545454545,Acompañar hito de una imagen que lo represente
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Aprendizajes,Hito 2,Completa,4.545454545454545,Acompañar hito de una imagen que lo represente
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Aprendizajes,Hito 3,Completa,4.545454545454545,Acompañar hito de una imagen que lo represente
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Aprendizajes,Hito 4,Completa,4.545454545454545,Acompañar hito de una imagen que lo represente
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Validación,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Hoja de ruta,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Partes del Prototipo,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Ingredientes,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Consejos ,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Receta ,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Pasos ,Completa,4.545454545454545,"Los pasos deben ser una secuencia para la replicabilidad del prototipo.

Los pasos actuales son, más bien, las referencias del proyecto"
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Referencias,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Archivos para replicar,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Continuidad ,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Alianzas,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Sostenibilidad,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Medios,Completa,4.545454545454545,
Cuidado colectivo de las plantas,Cuidado colectivo de las plantas,Desarrollo,Vinculaciones,Completa,4.545454545454545,
"Tejer para destejer la contaminación
","Tejer para destejer la contaminación
",Prototipo,Antecedentes,Completa,4.545454545454545,
"Tejer para destejer la contaminación
","Tejer para destejer la contaminación
",Prototipo,Equipo,Completa,4.545454545454545,
"Tejer para destejer la contaminación
","Tejer para destejer la contaminación
",Prototipo,Imagen de prototipo,Completa,4.545454545454545,
